quarter,overall,detached,semi-detached,terrace,apartment,land
2015 Q1,270,377.5,289.5,240,240,
2015 Q2,246,330,280,231.75,223.7,225
2015 Q3,295,380,245,257.5,255,105
2015 Q4,270,345,287.5,255,246,143
2016 Q1,279,290,250,270,213.5,95
2016 Q2,255,257.5,305,255,220,138
2016 Q3,276.629875,280,300,203,230,64
2016 Q4,280,320,270,255,320,100.193385
2017 Q1,280,315,286,210,440.75,84.16718
2017 Q2,285,318,300,250,324,68.9
2017 Q3,228.5,316.5,280,116.25,210,220
2017 Q4,267,286,288.5,218,367.5,180
2018 Q1,250,299,260,185,205,82
2018 Q2,260,280,257.5,210,283,300
2018 Q3,250,280,255,193,215,91
2018 Q4,252,280,245,245,240,304.8
2019 Q1,245,288,250,159.5,325,
2019 Q2,260,286,268,198,326,125
2019 Q3,260,293,288,205,195,85
2019 Q4,258,285,271,225,223,
2020 Q1,249,300,260,176.75,232,
2020 Q2,238,247.5,272,165,234,80.2
2020 Q3,240,266.5,248,208.8,215,152
2020 Q4,245,289,250,202.5,210,75
2021 Q1,247,282.5,185,215,220,150
2021 Q2,280,300,262,210,230,145
2021 Q3,250,258,265,215,250,
2021 Q4,268,295.8,255,219.4,240,187.5
2022 Q1,246.5,260,260,203,216.5,
2022 Q2,249.5,268,254,210,265,122
2022 Q3,255,278,260,197,316,
2022 Q4,260,289,280,191,230,470
2023 Q1,251,278,275,213,320,65
2023 Q2,252,300,258,200,260,165
2023 Q3,260,288,267.5,213,215,
2023 Q4,258,272,275.5,202.5,210,
2024 Q1,247,278,246,220,235,
2024 Q2,250,269,285,212,,
2024 Q3,249.8,252.3,262.5,199,305,176